,Company Name,Ticker
256,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,AHH^A
257,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,AHL^C
258,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,AHL^D
259,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,AHL^E
260,Avista Public Acquisition Corp. II Class A Ordinary Shares,AHPA
261,Avista Public Acquisition Corp. II Unit,AHPAU
262,Allied Healthcare Products Inc. Common Stock,AHPI
263,Ashford Hospitality Trust Inc Common Stock,AHT
264,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,AHT^D
265,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,AHT^F
266,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,AHT^G
267,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,AHT^H
268,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,AHT^I
269,C3.ai Inc. Class A Common Stock,AI
270,Arlington Asset Investment Corp 6.750% Notes due 2025,AIC
271,Apollo Tactical Income Fund Inc. Common Stock,AIF
272,American International Group Inc. New Common Stock,AIG
273,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,AIG^A
274,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,AIH
275,Senmiao Technology Limited Common Stock,AIHS
276,AIkido Pharma Inc. Common Stock,AIKI
277,AIM ImmunoTech Inc. Common Stock,AIM
278,Altra Industrial Motion Corp. Common Stock,AIMC
279,Albany International Corporation Common Stock,AIN
280,Ashford Inc. (Holding Company) Common Stock,AINC
281,Apollo Investment Corporation Common Stock,AINV
282,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,AIO
283,AAR Corp. Common Stock,AIR
284,Apartment Income REIT Corp. Common Stock,AIRC
285,Airgain Inc. Common Stock,AIRG
286,Air Industries Group Common Stock,AIRI
287,Air T Inc. Common Stock,AIRT
288,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,AIRTP
289,Applied Industrial Technologies Inc. Common Stock,AIT
290,Apartment Investment and Management Company Common Stock,AIV
291,Assurant Inc. Common Stock,AIZ
292,Assurant Inc. 5.25% Subordinated Notes due 2061,AIZN
293,Arthur J. Gallagher & Co. Common Stock,AJG
294,Aerojet Rocketdyne Holdings Inc. Common Stock,AJRD
295,Great Ajax Corp. Common Stock,AJX
296,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,AJXA
297,a.k.a. Brands Holding Corp. Common Stock,AKA
298,Akamai Technologies Inc. Common Stock,AKAM
299,Akebia Therapeutics Inc. Common Stock,AKBA
300,Sports Ventures Acquisition Corp. Class A Ordinary Shares,AKIC
301,Sports Ventures Acquisition Corp. Unit,AKICU
